,0,1
0,[[0.6700935]],[[0.60079324]]
1,[[-1.0464985]],[[-0.9913126]]
2,[[0.53816134]],[[0.6064807]]
3,[[-0.70929766]],[[-0.70494604]]
4,[[1.0214826]],[[0.90671766]]
5,[[1.564505]],[[1.5681194]]
6,[[-0.3260311]],[[-0.36120403]]
7,[[-1.1581618]],[[-1.1871408]]
8,[[-0.5416185]],[[-0.55354226]]
9,[[1.4631604]],[[1.5109502]]
10,[[-1.1810104]],[[-1.1527394]]
11,[[-0.99766886]],[[-0.9306467]]
12,[[0.88586515]],[[0.82434833]]
13,[[1.5127271]],[[1.4665505]]
14,[[0.5840427]],[[0.5035485]]
15,[[-1.3803827]],[[-1.4444919]]
16,[[1.1913729]],[[1.134698]]
17,[[-1.1017773]],[[-1.1547195]]
18,[[-1.003381]],[[-1.0440595]]
19,[[-1.0944068]],[[-1.1393375]]
20,[[1.0411987]],[[1.0126694]]
21,[[-0.16756509]],[[-0.426198]]
22,[[0.60873395]],[[0.72537553]]
23,[[2.0896537]],[[2.1334505]]
24,[[0.7467468]],[[0.8348025]]
25,[[-1.0262296]],[[-1.0322253]]
26,[[-0.43658873]],[[-0.5464113]]
27,[[0.8958154]],[[0.9578556]]
28,[[1.1020054]],[[1.1014613]]
29,[[-1.0665832]],[[-1.1005894]]
30,[[-1.1826687]],[[-1.286588]]
31,[[-0.5799452]],[[-0.47997522]]
32,[[-0.27628013]],[[-0.23075926]]
33,[[0.6916522]],[[0.7058562]]
34,[[0.8864179]],[[0.86199844]]
35,[[0.57317126]],[[0.5979041]]
36,[[-0.5471464]],[[-0.48558402]]
37,[[-1.115597]],[[-1.1388475]]
38,[[0.5748296]],[[0.53720844]]
39,[[1.8637477]],[[1.8749996]]
40,[[1.6916462]],[[1.5741392]]
41,[[-1.150607]],[[-0.97633404]]
42,[[-0.8917178]],[[-0.9275525]]
43,[[-0.21621047]],[[-0.19240773]]
44,[[-0.39144436]],[[-0.41350436]]
45,[[-0.9119867]],[[-0.9319785]]
46,[[1.2639724]],[[1.2725037]]
47,[[-0.80879956]],[[-0.7945494]]
48,[[-1.1692175]],[[-1.1405699]]
49,[[1.687961]],[[1.7065223]]
50,[[-0.28365064]],[[-0.34509885]]
51,[[0.7030765]],[[0.62809336]]
52,[[-0.4813646]],[[-0.459028]]
53,[[-1.1664536]],[[-1.1616329]]
54,[[2.2591755]],[[2.2908182]]
55,[[0.40549213]],[[0.38242197]]
56,[[-0.1012305]],[[0.03736794]]
57,[[-0.5075299]],[[-0.48578846]]
58,[[-0.79203165]],[[-0.8118659]]
59,[[1.1331458]],[[1.1369547]]
60,[[-1.0796658]],[[-1.0473357]]
61,[[0.9623342]],[[0.93382823]]
62,[[1.1425432]],[[1.236961]]
63,[[0.91037214]],[[0.9416696]]
64,[[-0.12702729]],[[-0.139974]]
65,[[0.7157906]],[[0.77536786]]
66,[[-1.3319216]],[[-1.3050416]]
67,[[-0.45335665]],[[-0.46959698]]
68,[[-0.27130502]],[[-0.30327702]]
69,[[0.7777029]],[[0.73217595]]
70,[[0.7800983]],[[0.76086175]]
